65.00 ,4.44 ,9.95 ,10.73 ,3.58 ,10.10 ,7.26 
38.00 ,8.43 ,9.66 ,9.72 ,3.50 ,8.85 ,6.07 
57.00 ,8.60 ,9.20 ,9.26 ,3.64 ,8.93 ,7.16 
65.00 ,4.44 ,9.95 ,10.73 ,3.58 ,10.10 ,7.26 
66.00 ,2.20 ,7.34 ,8.91 ,5.16 ,8.15 ,3.30 
66.00 ,2.20 ,7.34 ,8.91 ,5.16 ,8.15 ,3.30 
75.00 ,9.92 ,7.04 ,1.10 ,8.39 ,1.10 ,6.88 
75.00 ,9.92 ,7.04 ,1.10 ,8.39 ,1.10 ,6.88 
81.00 ,5.39 ,9.16 ,9.58 ,5.65 ,8.96 ,5.05 
86.00 ,10.04 ,11.21 ,10.38 ,6.89 ,9.91 ,6.81 
95.00 ,1.10 ,7.98 ,8.74 ,6.09 ,5.41 ,6.56 
96.00 ,3.14 ,7.87 ,9.00 ,4.98 ,8.26 ,5.38 
98.00 ,6.22 ,4.72 ,6.66 ,6.80 ,4.03 ,4.88 
109.00 ,7.25 ,9.72 ,10.27 ,6.51 ,6.73 ,1.10 
128.00 ,4.94 ,9.09 ,8.25 ,4.96 ,6.97 ,1.10 
128.00 ,4.94 ,9.09 ,8.25 ,4.96 ,6.97 ,1.10 
137.00 ,8.03 ,9.00 ,9.02 ,6.49 ,6.58 ,3.58 
142.00 ,10.52 ,8.88 ,9.02 ,8.00 ,3.00 ,1.10 
145.00 ,10.00 ,9.03 ,10.46 ,3.74 ,9.44 ,8.40 
154.00 ,6.43 ,4.01 ,4.92 ,4.32 ,1.95 ,2.08 
154.00 ,6.43 ,4.01 ,4.92 ,4.32 ,1.95 ,2.08 
154.00 ,6.43 ,4.01 ,4.92 ,4.32 ,1.95 ,2.08 
161.00 ,9.43 ,6.29 ,5.65 ,7.00 ,1.10 ,7.71 
171.00 ,5.30 ,10.16 ,9.89 ,6.48 ,9.08 ,8.74 
175.00 ,7.76 ,8.97 ,9.38 ,3.95 ,8.34 ,7.44 
183.00 ,10.51 ,10.69 ,9.91 ,10.51 ,5.48 ,10.78 
184.00 ,5.79 ,6.82 ,8.46 ,4.30 ,5.81 ,2.40 
187.00 ,7.80 ,8.99 ,9.19 ,8.74 ,8.15 ,1.10 
193.00 ,5.19 ,8.16 ,9.92 ,6.87 ,8.63 ,6.50 
203.00 ,6.37 ,6.53 ,7.70 ,6.15 ,6.86 ,2.89 
218.00 ,2.89 ,8.92 ,9.63 ,7.16 ,8.48 ,8.76 
233.00 ,6.87 ,8.51 ,8.11 ,6.84 ,6.01 ,1.95 
264.00 ,6.98 ,9.18 ,9.65 ,4.11 ,8.70 ,7.14 
285.00 ,10.60 ,6.46 ,8.19 ,6.95 ,6.08 ,2.89 
289.00 ,10.66 ,5.66 ,6.15 ,7.24 ,3.47 ,3.09 
304.00 ,5.08 ,8.92 ,10.12 ,6.42 ,9.37 ,7.79 
305.00 ,5.49 ,9.47 ,9.09 ,6.68 ,8.27 ,5.35 
325.00 ,10.40 ,9.73 ,9.52 ,11.02 ,7.15 ,8.63 
338.00 ,1.10 ,5.81 ,8.86 ,9.66 ,2.71 ,6.31 
343.00 ,7.43 ,8.85 ,10.18 ,7.28 ,9.65 ,3.61 
353.00 ,4.76 ,8.74 ,9.96 ,5.43 ,9.07 ,7.01 
355.00 ,5.25 ,6.59 ,7.61 ,5.50 ,5.21 ,4.84 
356.00 ,10.03 ,4.90 ,5.38 ,8.06 ,2.20 ,6.31 
357.00 ,3.61 ,7.15 ,10.01 ,4.92 ,8.82 ,4.70 
412.00 ,4.57 ,8.19 ,9.43 ,4.58 ,8.00 ,4.13 
420.00 ,8.40 ,8.57 ,9.49 ,3.22 ,8.83 ,7.24 
429.00 ,9.06 ,7.47 ,8.18 ,3.85 ,4.43 ,7.82 
439.00 ,7.93 ,7.44 ,7.83 ,4.17 ,6.17 ,3.95 
